"site","site_abbr","site_id","data_interval","timestamp","recnum","rain","snow_depth_mean","snow_depth_min","snow_depth_max","air_temp_avg","air_temp_min","air_temp_max","windspeed_avg","windspeed_max"
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-18 00:00:00",497,0,0.329,0,0.381,-9.62,-12.99,-6.578,0.506,2.238
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-19 00:00:00",498,0,0.367,0.343,0.393,-8.97,-12.1,-6.262,1.174,3.538
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-20 00:00:00",499,0,0.373,0.361,0.38,-7.077,-8.95,-3.165,0.716,3.425
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-21 00:00:00",500,0.254,0.358,0.349,0.372,-0.171,-3.205,2.421,1.857,5.375
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-22 00:00:00",501,4.064,0.335,0.317,0.35,0.281,-2.617,5.041,0.641,3.25
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-23 00:00:00",502,0.762,0.319,0.317,0.321,-1.079,-2.578,0.034,2.941,7.138
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-24 00:00:00",503,23.37,0.305,0.292,0.319,1.761,-0.687,5.731,2.366,7.038
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-25 00:00:00",504,0,0.314,0,1.61,-10,-14.75,-0.687,0,0
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-26 00:00:00",505,0,0.314,0.293,0.333,-15.12,-19.5,-9.35,0,0
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-27 00:00:00",506,1.016,0.314,0.307,0.32,-11.02,-19.15,-3.06,1.982,6.487
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-28 00:00:00",507,2.032,0.303,0.279,0.318,-0.753,-10.7,6.068,3.044,6.912
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-29 00:00:00",508,0.254,0.276,0.268,0.285,0.86,-2.809,5.179,1.079,5.237
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-30 00:00:00",509,0,0.27,0.266,0.273,-3.478,-6.45,0.221,1.441,3.913
"Ackerman Clearing","ackerman",1,"24 hour","2018-01-31 00:00:00",510,0,0.27,0.26,0.285,-8.85,-14.42,-3.065,1.299,4.325
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-01 00:00:00",511,0,0.273,0.263,0.301,-11.78,-18.84,-6.804,2.304,9.45
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-02 00:00:00",512,0.254,0.292,0,1.61,-2.792,-6.732,2.11,2.149,5.913
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-03 00:00:00",513,0,0.35,0,0.397,-15.63,-22.18,-4.695,1.376,4.837
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-04 00:00:00",514,0,0.313,0,0.371,-14.34,-22.74,-8.68,1.685,5.15
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-05 00:00:00",515,0,0.381,0.331,0.43,-5.168,-9.5,-3.085,3.735,7.213
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-06 00:00:00",516,0,0.426,0,1.61,-9.73,-14.4,-2.406,1.173,5.463
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-07 00:00:00",517,0,0.44,0.417,0.48,-9.96,-12.65,-5.525,1.038,4.363
"Ackerman Clearing","ackerman",1,"24 hour","2018-02-08 00:00:00",518,0,0.469,0,1.502,-10.81,-15.34,-7.713,2.225,7.837
